date,description,price
2021-04-04,crude oil,
2021-04-05,crude oil,58.73
2021-04-06,crude oil,59.34
2021-04-07,crude oil,59.77
2021-04-08,crude oil,59.61
2021-04-09,crude oil,59.29
2021-04-10,crude oil,
2021-04-11,crude oil,
2021-04-12,crude oil,59.70
2021-04-13,crude oil,60.20
2021-04-14,crude oil,63.15
2021-04-15,crude oil,63.42
2021-04-16,crude oil,63.16
2021-04-17,crude oil,
2021-04-18,crude oil,
2021-04-19,crude oil,63.33
2021-04-20,crude oil,62.61
2021-04-21,crude oil,61.34
2021-04-22,crude oil,61.45
2021-04-23,crude oil,62.18
2021-04-24,crude oil,
2021-04-25,crude oil,
2021-04-26,crude oil,62.02
2021-04-27,crude oil,63.03
2021-04-28,crude oil,63.81
2021-04-29,crude oil,65.00
2021-04-30,crude oil,63.50
2021-05-01,crude oil,
2021-05-02,crude oil,
2021-05-03,crude oil,64.46
2021-05-04,crude oil,65.72
2021-05-05,crude oil,65.63
2021-05-06,crude oil,64.73
2021-05-07,crude oil,64.96
2021-05-08,crude oil,
2021-05-09,crude oil,
2021-05-10,crude oil,64.92
2021-05-11,crude oil,65.31
2021-05-12,crude oil,65.96
2021-05-13,crude oil,63.82
2021-05-14,crude oil,65.32
2021-05-15,crude oil,
2021-05-16,crude oil,
2021-05-17,crude oil,66.24
2021-05-18,crude oil,65.49
2021-05-19,crude oil,63.28
2021-05-20,crude oil,61.95
2021-05-21,crude oil,63.61
2021-05-22,crude oil,
2021-05-23,crude oil,
2021-05-24,crude oil,66.13
2021-05-25,crude oil,66.27
2021-05-26,crude oil,66.41
2021-05-27,crude oil,66.87
2021-05-28,crude oil,66.31
2021-05-29,crude oil,
2021-05-30,crude oil,
2021-05-31,crude oil,
2021-06-01,crude oil,67.80
2021-06-02,crude oil,68.79
2021-06-03,crude oil,68.81
2021-06-04,crude oil,69.57
2021-06-05,crude oil,
2021-06-06,crude oil,
2021-06-07,crude oil,69.21
2021-06-08,crude oil,70.11
2021-06-09,crude oil,69.90
2021-06-10,crude oil,70.34
2021-06-11,crude oil,71.00
2021-06-12,crude oil,
2021-06-13,crude oil,
2021-06-14,crude oil,70.94
2021-06-15,crude oil,72.06
2021-06-16,crude oil,72.03
2021-06-17,crude oil,71.06
2021-06-18,crude oil,71.64
2021-06-19,crude oil,
2021-06-20,crude oil,
2021-06-21,crude oil,73.64
2021-06-22,crude oil,73.15
2021-06-23,crude oil,73.11
2021-06-24,crude oil,73.31
2021-06-25,crude oil,74.21
2021-06-26,crude oil,
2021-06-27,crude oil,
2021-06-28,crude oil,72.98
2021-06-29,crude oil,73.14
2021-06-30,crude oil,73.52
2021-07-01,crude oil,75.33
2021-07-02,crude oil,75.37
2021-07-03,crude oil,
2021-07-04,crude oil,
2021-07-05,crude oil,
2021-07-06,crude oil,73.62
2021-07-07,crude oil,72.22
2021-07-08,crude oil,72.98
2021-07-09,crude oil,74.56
2021-07-10,crude oil,
2021-07-11,crude oil,
2021-07-12,crude oil,74.21
2021-07-13,crude oil,75.24
2021-07-14,crude oil,73.06
2021-07-15,crude oil,71.67
2021-07-16,crude oil,71.76
2021-07-17,crude oil,
2021-07-18,crude oil,
2021-07-19,crude oil,66.45
2021-07-20,crude oil,67.32
2021-07-21,crude oil,70.26
2021-07-22,crude oil,72.15
2021-07-23,crude oil,72.24
2021-07-24,crude oil,
2021-07-25,crude oil,
2021-07-26,crude oil,72.15
2021-07-27,crude oil,71.68
2021-07-28,crude oil,72.37
2021-07-29,crude oil,73.62
2021-07-30,crude oil,73.93
2021-07-31,crude oil,
2021-08-01,crude oil,
2021-08-02,crude oil,71.31
2021-08-03,crude oil,70.64
2021-08-04,crude oil,68.19
2021-08-05,crude oil,69.10
2021-08-06,crude oil,68.26
2021-08-07,crude oil,
2021-08-08,crude oil,
2021-08-09,crude oil,66.56
2021-08-10,crude oil,68.33
2021-08-11,crude oil,69.30
2021-08-12,crude oil,69.12
2021-08-13,crude oil,68.36
2021-08-14,crude oil,
2021-08-15,crude oil,
2021-08-16,crude oil,67.44
2021-08-17,crude oil,66.50
2021-08-18,crude oil,65.36
2021-08-19,crude oil,63.69
2021-08-20,crude oil,62.25
2021-08-21,crude oil,
2021-08-22,crude oil,
2021-08-23,crude oil,65.65
2021-08-24,crude oil,67.50
2021-08-25,crude oil,68.54
2021-08-26,crude oil,67.42
2021-08-27,crude oil,68.84
2021-08-28,crude oil,
2021-08-29,crude oil,
2021-08-30,crude oil,69.28
2021-08-31,crude oil,68.43
2021-09-01,crude oil,68.63
2021-09-02,crude oil,70.07
2021-09-03,crude oil,69.34
2021-09-04,crude oil,
2021-09-05,crude oil,
2021-09-06,crude oil,
2021-09-07,crude oil,68.49
2021-09-08,crude oil,69.36
2021-09-09,crude oil,68.26
2021-09-10,crude oil,69.82
2021-09-11,crude oil,
2021-09-12,crude oil,
2021-09-13,crude oil,70.54
2021-09-14,crude oil,70.53
2021-09-15,crude oil,72.59
2021-09-16,crude oil,72.69
2021-09-17,crude oil,72.09
2021-09-18,crude oil,
2021-09-19,crude oil,
2021-09-20,crude oil,70.41
2021-09-21,crude oil,70.51
2021-09-22,crude oil,72.37
2021-09-23,crude oil,73.43
2021-09-24,crude oil,74.18
2021-09-25,crude oil,
2021-09-26,crude oil,
2021-09-27,crude oil,75.54
2021-09-28,crude oil,75.44
2021-09-29,crude oil,75.06
2021-09-30,crude oil,75.22
2021-10-01,crude oil,76.01
2021-10-02,crude oil,
2021-10-03,crude oil,
2021-10-04,crude oil,77.68
2021-10-05,crude oil,79.17
2021-10-06,crude oil,77.66
2021-10-07,crude oil,78.46
2021-10-08,crude oil,79.55
2021-10-09,crude oil,
2021-10-10,crude oil,
2021-10-11,crude oil,80.64
2021-10-12,crude oil,80.75
2021-10-13,crude oil,80.67
2021-10-14,crude oil,81.43
2021-10-15,crude oil,82.39
2021-10-16,crude oil,
2021-10-17,crude oil,
2021-10-18,crude oil,82.62
2021-10-19,crude oil,83.19
2021-10-20,crude oil,84.40
2021-10-21,crude oil,82.64
2021-10-22,crude oil,84.53
2021-10-23,crude oil,
2021-10-24,crude oil,
2021-10-25,crude oil,84.64
2021-10-26,crude oil,85.64
2021-10-27,crude oil,82.66
2021-10-28,crude oil,82.78
2021-10-29,crude oil,83.50
2021-10-30,crude oil,
2021-10-31,crude oil,
2021-11-01,crude oil,84.08
2021-11-02,crude oil,83.91
2021-11-03,crude oil,80.82
2021-11-04,crude oil,78.88
2021-11-05,crude oil,81.25
2021-11-06,crude oil,
2021-11-07,crude oil,
2021-11-08,crude oil,81.96
2021-11-09,crude oil,84.12
2021-11-10,crude oil,81.23
2021-11-11,crude oil,81.47
2021-11-12,crude oil,80.87
2021-11-13,crude oil,
2021-11-14,crude oil,
2021-11-15,crude oil,80.85
2021-11-16,crude oil,80.76
2021-11-17,crude oil,78.32
2021-11-18,crude oil,78.92
2021-11-19,crude oil,76.11
2021-11-20,crude oil,
2021-11-21,crude oil,
2021-11-22,crude oil,76.74
2021-11-23,crude oil,78.32
2021-11-24,crude oil,78.32
2021-11-25,crude oil,
2021-11-26,crude oil,
2021-11-27,crude oil,
2021-11-28,crude oil,
2021-11-29,crude oil,69.88
2021-11-30,crude oil,66.14
2021-12-01,crude oil,65.44
2021-12-02,crude oil,66.60
2021-12-03,crude oil,66.39
2021-12-04,crude oil,
2021-12-05,crude oil,
2021-12-06,crude oil,69.62
2021-12-07,crude oil,71.94
2021-12-08,crude oil,72.43
2021-12-09,crude oil,70.87
2021-12-10,crude oil,71.71
2021-12-11,crude oil,
2021-12-12,crude oil,
2021-12-13,crude oil,71.19
2021-12-14,crude oil,70.57
2021-12-15,crude oil,70.89
2021-12-16,crude oil,72.34
2021-12-17,crude oil,70.93
2021-12-18,crude oil,
2021-12-19,crude oil,
2021-12-20,crude oil,68.69
2021-12-21,crude oil,71.10
2021-12-22,crude oil,72.82
2021-12-23,crude oil,73.89
2021-12-24,crude oil,
2021-12-25,crude oil,
2021-12-26,crude oil,
2021-12-27,crude oil,75.49
2021-12-28,crude oil,76.01
2021-12-29,crude oil,76.58
2021-12-30,crude oil,76.83
2021-12-31,crude oil,75.33
2022-01-01,crude oil,
2022-01-02,crude oil,
2022-01-03,crude oil,75.99
2022-01-04,crude oil,77.00
2022-01-05,crude oil,77.83
2022-01-06,crude oil,79.47
2022-01-07,crude oil,79.00
2022-01-08,crude oil,
2022-01-09,crude oil,
2022-01-10,crude oil,78.11
2022-01-11,crude oil,81.17
2022-01-12,crude oil,82.51
2022-01-13,crude oil,81.97
2022-01-14,crude oil,83.82
2022-01-15,crude oil,
2022-01-16,crude oil,
2022-01-17,crude oil,
2022-01-18,crude oil,85.42
2022-01-19,crude oil,86.84
2022-01-20,crude oil,86.29
2022-01-21,crude oil,85.16
2022-01-22,crude oil,
2022-01-23,crude oil,
2022-01-24,crude oil,84.48
2022-01-25,crude oil,86.61
2022-01-26,crude oil,88.33
2022-01-27,crude oil,87.61
2022-01-28,crude oil,87.67
2022-01-29,crude oil,
2022-01-30,crude oil,
2022-01-31,crude oil,89.16
2022-02-01,crude oil,88.22
2022-02-02,crude oil,88.16
2022-02-03,crude oil,90.17
2022-02-04,crude oil,92.27
2022-02-05,crude oil,
2022-02-06,crude oil,
2022-02-07,crude oil,91.25
2022-02-08,crude oil,89.32
2022-02-09,crude oil,89.57
2022-02-10,crude oil,89.83
2022-02-11,crude oil,93.10
2022-02-12,crude oil,
2022-02-13,crude oil,
2022-02-14,crude oil,95.52
2022-02-15,crude oil,92.07
2022-02-16,crude oil,93.83
2022-02-17,crude oil,91.78
2022-02-18,crude oil,91.26
2022-02-19,crude oil,
2022-02-20,crude oil,
2022-02-21,crude oil,
2022-02-22,crude oil,92.11
2022-02-23,crude oil,92.14
2022-02-24,crude oil,92.77
2022-02-25,crude oil,91.68
2022-02-26,crude oil,
2022-02-27,crude oil,
2022-02-28,crude oil,96.13
2022-03-01,crude oil,103.66
2022-03-02,crude oil,110.74
2022-03-03,crude oil,107.69
2022-03-04,crude oil,115.77
2022-03-05,crude oil,
2022-03-06,crude oil,
2022-03-07,crude oil,119.26
2022-03-08,crude oil,123.64
2022-03-09,crude oil,108.81
2022-03-10,crude oil,105.93
2022-03-11,crude oil,109.31
